Id;CodeEcole2;Ecole;CodeProvinceEducationnelle;ProvinceEduc;CodeAnnee;Annee;CodeOption;Option;PartTot;PartH;PartF;ReussTot;ReussH;ReussF;TypeEcole
8493;11068136;INSAINTITUTITUT PRESBYTERIEN ELONGO;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;8;5;3;5;2;3;PROTESTANT
8494;11068146;INTITUT DU 30 JUIN;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;9;5;4;0;0;0;PROTESTANT
8495;11068150;;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0;AUTODIDACTE
8496;11069012;;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0;CATHOLIQUE
8497;11069027;;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;2;0;2;PRIVEE AGREE
8498;11069037;;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;22;12;10;0;0;0;PRIVEE AGREE
8499;11069047;COMPLEXE SCOLLEGEAIRE LATOORDIEM;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;13;7;6;2;1;1;PRIVEE AGREE
8500;11069057;COMPLEXE SCOLLEGEAIRE MOBOKOLI;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;16;8;8;0;0;0;PRIVEE AGREE
8501;11069067;GROUPE SCOLLEGEAIRE LES ARGUS;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;26;14;12;0;0;0;PRIVEE AGREE
8502;11069072;INSAINTITUTITUT CARMEN SALLES;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;83;50;33;26;9;17;CATHOLIQUE
8503;11069087;INSAINTITUTITUT MBOTAMA;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;17;9;8;3;1;2;PRIVEE AGREE
8504;110690915;INSAINTITUTITUT NSAKALA;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;52;32;20;30;12;18;ISLAMIQUE
8505;11069107;INSAINTITUTITUT REVERENOTRE DAMEERENOTRE DAME ILUNGA;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;68;41;27;2;2;0;PRIVEE AGREE
8506;11069116;INSAINTITUTITUT REVERENOTRE DAMEERENOTRE DAME MWANZA;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;30;21;9;18;11;7;PROTESTANT
8507;11071017;COLLEGEEGE KIMBOKO;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;25;16;9;5;3;2;PRIVEE AGREE
8508;11071027;;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0;PRIVEE AGREE
8509;11071037;;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0;PRIVEE AGREE
8510;11071047;;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;10;7;3;0;0;0;PRIVEE AGREE
8511;11071057;;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0;PRIVEE AGREE
8512;11071067;;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;14;8;6;3;1;2;PRIVEE AGREE
8513;11071077;COMPLEXE SCOLLEGEAIRE KIVUVU;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;24;15;9;14;6;8;PRIVEE AGREE
8514;11071087;;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0;PRIVEE AGREE
8515;11071097;COMPLEXE SCOLLEGEAIRELES ELITES DE NGABA;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;0;0;0;0;0;0;PRIVEE AGREE
8516;11071107;COMPLEXE SCOLLEGEAIRE MAFERD;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;6;5;1;0;0;0;PRIVEE AGREE
8517;11071117;COMPLEXE SCOLLEGEAIRE MOYO;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;19;12;7;12;5;7;PRIVEE AGREE
8518;11071127;COMPLEXE SCOLLEGEAIRE SUBLIMITE;11;KINSHASA-MONT AMBA;4;2022;103;CHIMIE-BIOLOGIE;31;18;13;2;1;1;PRIVEE AGREE
